"trace_id","asset_id","filename","sha256","first_known_commit","first_known_date","first_known_path","current_path","source_record_found","generation_record_found","third_party_indicator","people_indicator","trademark_indicator","provenance_assessment","rights_assessment","remaining_evidence_needed","recommended_resolution","notes"
"KPT-001","AST-001","global_page_hero_template.webp","c66648e2cadcd265c7a7f12ecd52d39be24fe5933f355a1a656cc2d533999cee","142acc102226917ef70abbdd3648cae4c8568fb2","2026-08-25T09:18:38+01:00","ASSETS/01_GLOBAL_SITE/heroes/global_page_hero_template.webp","ASSETS/01_GLOBAL_SITE/heroes/global_page_hero_template.webp","YES","NOT RECORDED","NO","NOT_EVIDENCED","NO","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","Creator/source and licence or permission evidence","Obtain source/rights evidence or controlled replacement","Git history establishes repository trace only, not ownership."
"KPT-002","AST-002","home_hero_new_earth_main.webp","a16cac1948a0f02e3f182d7411e848504a424549be605273afb2903d7f864da9","142acc102226917ef70abbdd3648cae4c8568fb2","2026-08-25T09:18:38+01:00","ASSETS/02_HOME/hero/home_hero_new_earth_main.webp","ASSETS/02_HOME/hero/home_hero_new_earth_main.webp","YES","NOT RECORDED","NO","NOT_EVIDENCED","NO","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","Creator/source and licence or permission evidence","Obtain source/rights evidence or controlled replacement","Git history establishes repository trace only, not ownership."
"KPT-003","AST-010","home_introduction_new_earth.webp","7802994d213b830b8033685a35fb5007a57abbab96b94ea087790a085be1ca20","672b9b388120de857fdd3c78907ed81fd2f44ea5","2026-08-26T17:08:44+01:00","ASSETS/02_HOME/sections/home_introduction_new_earth.webp","ASSETS/02_HOME/sections/home_introduction_new_earth.webp","YES","NOT RECORDED","NO","NOT_EVIDENCED","NO","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","Creator/source and licence or permission evidence","Obtain source/rights evidence or controlled replacement","Git history establishes repository trace only, not ownership."
"KPT-004","AST-003","manifesto_hero.webp","06ea9b1f4ebfca290e01f238ea2ef0cbe604e4f0e0fda89baae7b8dac337cd69","142acc102226917ef70abbdd3648cae4c8568fb2","2026-08-25T09:18:38+01:00","ASSETS/03_MANIFESTO/hero/manifesto_hero.webp","ASSETS/03_MANIFESTO/hero/manifesto_hero.webp","YES","NOT RECORDED","NO","NOT_EVIDENCED","NO","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","Creator/source and licence or permission evidence","Obtain source/rights evidence or controlled replacement","Git history establishes repository trace only, not ownership."
"KPT-005","AST-004","blueprint_hero.webp","44c3bc8fb6ffd0e45cb99f8e2d253cd3d4a428d5abec29913c4d6c8fc0d68615","142acc102226917ef70abbdd3648cae4c8568fb2","2026-08-25T09:18:38+01:00","ASSETS/04_BLUEPRINT/hero/blueprint_hero.webp","ASSETS/04_BLUEPRINT/hero/blueprint_hero.webp","YES","NOT RECORDED","NO","NOT_EVIDENCED","NO","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","Creator/source and licence or permission evidence","Obtain source/rights evidence or controlled replacement","Git history establishes repository trace only, not ownership."
"KPT-006","AST-005","systems_hero.webp","a0f0b845390c5eb4ce274a34a13e5ea72ec2fb238f04b2ae7f6b504014f99d19","142acc102226917ef70abbdd3648cae4c8568fb2","2026-08-25T09:18:38+01:00","ASSETS/05_SYSTEMS/hero/systems_hero.webp","ASSETS/05_SYSTEMS/hero/systems_hero.webp","YES","NOT RECORDED","NO","NOT_EVIDENCED","NO","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","Creator/source and licence or permission evidence","Obtain source/rights evidence or controlled replacement","Git history establishes repository trace only, not ownership."
"KPT-007","AST-008","field_scanner_project.webp","fd46b0aded20f0992340783eb36c3352462992c5e938a2cdcc3bd653df86cc7d","672b9b388120de857fdd3c78907ed81fd2f44ea5","2026-08-26T17:08:44+01:00","ASSETS/05_SYSTEMS/projects/field_scanner_project.webp","ASSETS/05_SYSTEMS/projects/field_scanner_project.webp","YES","NOT RECORDED","NO","NOT_EVIDENCED","NO","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","Creator/source and licence or permission evidence","Obtain source/rights evidence or controlled replacement","Git history establishes repository trace only, not ownership."
"KPT-008","AST-006","microgrow_hero.webp","72eecd869c4b0b2f906d01940d875bd236ff350a7e4297a64f7b4e32a460e9fb","142acc102226917ef70abbdd3648cae4c8568fb2","2026-08-25T09:18:38+01:00","ASSETS/06_MICROGROW/hero/microgrow_hero.webp","ASSETS/06_MICROGROW/hero/microgrow_hero.webp","YES","NOT RECORDED","NO","NOT_EVIDENCED","NO","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","Creator/source and licence or permission evidence","Obtain source/rights evidence or controlled replacement","Git history establishes repository trace only, not ownership."
"KPT-009","AST-007","microgrow_ai_lab_project_card.webp","b2e258d08d1da2fb2d666939ef5b65d9d25c1f13291d1019ef32cfbe400940b7","9996dc37634593fb47b83200f2d81c4c406a4412","2026-08-26T18:00:28+01:00","ASSETS/06_MICROGROW/product/microgrow_ai_lab_project_card.webp","ASSETS/06_MICROGROW/product/microgrow_ai_lab_project_card.webp","YES","NOT RECORDED","NO","NOT_EVIDENCED","NO","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","Creator/source and licence or permission evidence","Obtain source/rights evidence or controlled replacement","Git history establishes repository trace only, not ownership."
"KPT-010","AST-014","about_hero.webp","334ff1003ee6bb8b8ee0a9913d23f66aa0e757d4a43d67d255c6cc2d5c27df7f","142acc102226917ef70abbdd3648cae4c8568fb2","2026-08-25T09:18:38+01:00","ASSETS/07_ABOUT/hero/about_hero.webp","ASSETS/07_ABOUT/hero/about_hero.webp","YES","NOT RECORDED","NO","REVIEW_REQUIRED_IF_IDENTIFIABLE","NO","PROVENANCE_PARTIAL","RIGHTS EVIDENCE MISSING","Creator/source and licence or permission evidence","Obtain source/rights evidence or controlled replacement","Git history establishes repository trace only, not ownership."
